date;pm2.5;pm10;so2;no2;no;nox;o3;co;ws;wd;temp;relHum;pressure;death_count;Male;Female;BelowTen;TenToSixtyFour;SixtyFivePlus
2009/01/01;12.710847826087;19.3223766664374;10.1640271745512;2.66630434782608;3.88232608695652;5.66345652173913;34.4997826086956;0.115782608695652;2.94195652173913;117.344773870647;11.3985995965585;64.8531140652803;848.35209986595;2;0;2;1;1;0
2009/01/02;13.8946666666667;21.118553689828;11.4168924739126;9.6787708333333;4.32706249999999;13.9813854166666;34.196;0.268145833333333;1.99833333333333;107.658463222957;11.0284199076656;61.868712753415;847.999051287813;6;4;2;0;3;3
2009/01/03;10.9347916666667;17.5127168687286;11.3586716500176;20.0416875;9.7494375;28.9062291666667;19.3057708333333;0.12775;2.75354166666667;77.4344488029736;9.64831260712415;70.2281075805131;848.780782924732;8;3;5;1;4;3
2009/01/04;12.75575;21.4463537295429;10.6515805318519;12.8430239726021;5.12604940564635;17.0544075342466;30.5752083333333;0.300791666666667;2.8225;151.938404452264;12.7901058508402;61.9220460867484;847.773173765082;6;4;2;0;3;3
2009/01/05;12.9013541666667;21.2865975785312;6.64632803986275;12.4475499999983;5.05606426448735;16.53295;31.3313958333333;0.0448125;2.778125;140.781761405555;13.8513560682034;62.0160044200817;847.816350144076;9;5;4;0;2;7
2009/01/06;11.7653333333333;19.9136473664372;7.15410026891979;12.0520760273946;4.98607912332835;16.0114924657535;29.5147083333333;0.0661666666666667;2.57833333333333;151.790940437979;16.5604337768613;63.8660044200817;847.841472201725;NA;NA;NA;NA;NA;NA
2009/01/07;12.5713333333333;26.5137934746895;6.60890106105415;11.656602054791;4.91609398216936;15.4900349315069;32.0606041666667;0.0657708333333333;2.15;139.602622628821;23.4167602934859;59.9572587749534;848.44131697835;8;5;3;0;4;4
2009/01/08;12.4342916666667;33.0603697892889;6.45683193816601;11.2611280821874;4.84610884101036;14.9685773972603;38.5488333333333;0.177104166666667;2.12645833333333;160.801747059808;25.3455765483592;55.8678968395686;850.389158435207;5;3;2;0;2;3
2009/01/09;9.7154375;19.5305900023262;3.41465476636983;10.865654109584;4.77612369985136;14.4471198630136;25.8579791666667;0.1181875;2.14;209.531991446679;24.3364856695687;62.0860218395686;850.131705071303;4;2;2;0;2;2
2009/01/10;9.54091098484849;13.6121767614521;5.27466934560381;10.4701801369806;4.70613855869237;13.925662328767;22.9345625;0.206081989247312;1.84998655913978;188.168550333457;21.5327985167269;75.2567473771755;849.243044905345;7;1;6;0;3;4
2009/01/11;5.78198674242428;7.28423956725626;2.15196542371284;10.0747061643774;4.63615341753338;13.4042047945204;23.7288124999999;0.082108198924731;2.57608198924731;230.870464921818;16.5217973207957;67.1628794200817;852.021542667697;3;2;1;0;2;1
2009/01/12;7.18152272727277;9.31094687119799;2.56852375863761;9.67923219177425;4.56616827637438;12.8827472602738;31.8053124999999;0.0796982526881718;2.58969086021505;219.962444734406;16.7505851187527;68.1037127534151;854.777302428738;6;3;3;2;3;1
2009/01/13;11.5050540824916;16.8305448459038;5.90998189399953;9.28375821917117;4.49618313521539;12.3612897260272;39.5715624999999;0.137350806451613;1.65517473118279;192.997226384135;23.1066633991349;65.6815051458937;855.27464820841;6;4;2;0;2;4
2009/01/14;23.1833796296296;34.2331172541683;7.39431861274039;8.88828424656817;4.42619799405639;11.8398321917806;42.8245;0.135427419354839;2.01469086021505;166.381160938564;23.4420460974771;66.9394484523893;850.674324135333;3;1;2;0;2;1
2009/01/15;7.42622916666667;18.0574013091654;6.48950175850468;8.49281027396524;4.3562128528974;11.3183746575341;28.2872916666666;0.0451666666666666;3.01125;105.786126455869;22.6413675837701;68.2645635062353;850.087509835981;6;5;1;0;2;4
2009/01/16;17.1379375;34.4615577197167;7.87922134637661;8.09733630136243;4.2862277117384;10.7969171232876;29.693375;0.125020833333333;1.55604166666667;178.457429152914;22.7580210355922;68.3514385062353;849.554486173154;8;4;4;0;4;4
2009/01/17;15.4404375;29.3560753859701;12.6184709292741;7.70186232875969;4.2162425705794;10.2754595890412;35.3730416666667;0.104354166666667;1.61958333333333;239.676704038724;24.7572145438186;65.3981051729019;848.601353546945;8;2;6;0;4;4
2009/01/18;20.195125;29.6315730151244;18.9476156456232;7.30638835615714;4.1462574294204;9.75400205479479;37.5007708333333;0.0902708333333334;2.16916666666667;180.561930593321;23.6314809394424;69.6876885062353;849.252264858035;6;1;5;0;0;6
2009/01/19;11.172;18.105267425535;9.94900330914147;6.91091438355467;4.0762722882614;9.23254452054841;30.1720416666667;0.0593958333333333;2.06354166666667;237.788660789157;22.3768433906007;74.0387301729019;849.600189071759;9;4;5;0;8;1
2009/01/20;6.31814583333333;10.8878668711519;5.62993275078233;6.51544041095226;4.0062871471024;8.71108698630201;33.5536666666667;0.0426041666666667;2.17020833333333;164.999708944055;21.0917444211816;72.4799801729019;850.242127040277;5;0;5;0;4;1
2009/01/21;6.59629166666666;11.1331960247293;5.96452887026157;6.1199664383499;3.9363020059434;8.1896294520556;29.2720625;0.0513541666666666;3.281875;281.035761240043;21.0203748688905;74.7741468395686;849.720385640097;5;5;0;1;3;1
2009/01/22;12.9595625;17.9115041270505;9.55806356236319;5.72449246574759;3.8663168647844;7.6681719178092;40.64625;0.164625;2.78645833333333;250.377507051835;20.716480655316;71.7041468395686;848.835752642511;8;3;5;0;2;6
2009/01/23;13.9371673553719;20.0549073423752;9.24300552590514;5.32901849314529;3.7963317236254;7.1467143835628;29.4739347677595;0.192397882513661;2.42828684573003;243.810103899833;20.089938398222;71.6593493664063;848.151462781224;6;3;3;0;2;4
2009/01/24;14.2158913567493;18.0577188198208;6.54037917745535;4.93354452054308;3.72634658246641;6.62525684931639;25.1837404371584;0.115778005464481;2.58478133608815;221.484853606768;14.5280068937372;65.9395460867484;851.057483072261;5;3;2;0;2;3
2009/01/25;11.3120898760331;14.5132485080792;7.17858883089107;4.53807054794088;3.65636144130741;6.10379931507;24.4184050546448;0.0437066256830601;2.76216253443526;234.336404603907;13.1687237308568;65.8770460867484;853.370794907334;5;4;1;0;3;2
2009/01/26;11.9500800619836;15.0289018804842;5.70415447888553;4.14259657533868;3.58637630014842;5.5823417808236;23.8876530054644;0.0553852459016393;2.67141873278237;214.548600898128;13.2325976717349;65.0926710867484;853.777072065376;5;1;4;0;3;2
2009/01/27;9.00415358126729;12.9999877435616;6.42318785482284;3.74712260273655;3.51639115898942;5.0608842465772;19.3376926229508;0.0912305327868852;2.59109159779614;193.343032394778;13.4664732557605;64.2945460867484;852.428437855633;5;2;3;0;3;2
2009/01/28;6.67747193526172;7.68641296667751;2.35413847940334;3.35164863013432;3.44640601783044;4.53942671233082;21.2262616120218;0.0567933743169399;3.27038395316804;140.693015059155;17.0108126579675;73.7303852265774;850.767823638117;6;4;2;0;3;3
2009/01/29;4.11475;5.10960984961192;1.24112616162762;2.95617465753197;3.37642087667149;4.01796917808443;22.9534166666667;0.0629583333333333;3.295;266.858496601098;19.6557976817145;79.2743551729019;850.237449476073;3;1;2;0;1;2
2009/01/30;4.31302083333333;5.64083155305534;2.70897568124774;2.56070068492965;3.30643573551256;3.49651164383796;24.5350833333333;0.0746458333333333;1.97895833333333;210.5009585217;19.733270222712;84.2241468395686;849.766823392578;3;1;2;0;1;2
2009/01/31;5.76777083333333;8.24296545303227;3.59545087459453;2.16522671232734;3.2364505943536;2.97505410959125;23.0881458333333;0.0782291666666666;1.74979166666667;160.278031593953;20.5608250568746;75.9449801729019;849.58015618883;4;2;2;0;3;1
2009/02/01;7.15645833333333;10.6235416666667;4.86830978694438;1.76975273972505;3.196875;2.45359657534452;24.1497916666667;0.11875;1.86;251.46581170605;16.0704840080402;75.843125;850.451875;4;0;4;0;1;3
2009/02/02;9.73875;13.4852083333333;7.03470994419466;1.37427876712276;3.19854166666667;1.93213904109775;20.224375;0.184166666666667;1.675625;211.177387758746;11.8299857922147;86.1660416666667;850.173958333333;11;5;6;0;6;5
2009/02/03;19.6539583333333;28.49625;4.090625;10.5130839041094;5.52947916666667;13.9494888698637;22.659375;0.45;1.77104166666667;230.138693415777;11.1605019450741;78.82;848.867083333333;5;2;3;0;2;3
2009/02/04;8.94208333333333;14.4629166666667;1.41666666666667;11.5328219696969;4.301875;12.7302083333333;22.35625;0.172916666666667;3.53104166666667;93.8223383393087;9.90461420899453;80.0608333333333;851.664583333333;3;0;3;0;0;3
2009/02/05;2.75041666666667;3.790625;1.0635314069161;10.0908238636364;6.18510416666667;15.023125;15.1108333333333;0.0285416666666667;3.09354166666667;91.3337845722774;8.85836649751667;82.8260416666667;855.655625;8;2;6;0;3;5
2009/02/06;4.22708333333333;10.6264583333333;2.30947619464049;12.3445493197279;12.603318452381;22.4304166666667;16.0083333333333;0.0304166666666667;3.073125;103.46931680063;9.59567470078418;69.41875;855.821458333333;7;2;5;0;1;6
2009/02/07;7.81125;17.6510416666667;2.8625410014423;12.9633460884354;13.828556547619;25.295625;19.83625;0.0504166666666667;2.46625;121.673490015758;9.37325350708641;65.93375;852.903125;8;6;2;0;6;2
2009/02/08;15.0829166666667;28.6420833333333;3.49208333333333;19.2380396916831;10.2046354166667;28.4004166666667;22.363125;0.124166666666667;1.48208333333333;173.876964317733;10.1164908866656;65.3264583333333;850.323125;8;3;5;0;3;5
2009/02/09;20.096875;29.775;1.20371300826519;12.0970852534562;3.66856770833333;13.3589583333333;33.3889583333333;0.0966666666666667;2.56166666666667;287.448226081165;10.2731027136264;72.89875;850.688125;7;2;5;0;3;4
2009/02/10;25.6327083333333;31.9372916666667;1.79700080766848;17.9049635176651;6.944296875;22.3625;23.9933333333333;0.259791666666667;1.79854166666667;184.379887472505;9.72443213324325;84.3135416666667;851.564375;8;3;5;0;6;2
2009/02/11;16.8860416666667;21.0383333333333;1.08397870587868;18.417216781874;8.01229166666667;23.7572916666667;15.9695833333333;0.430833333333333;2.30625;131.877717612005;9.14858465652759;89.0147916666667;852.671041666667;3;1;2;0;1;2
2009/02/12;3.62072916666667;7.45102947466499;4.10499784762469;12.2170742127496;8.97395833333333;20.1257291666667;14.3578125;0.0784375;4.566875;108.920844499566;8.1826157177084;75.0152934866307;855.151288096926;6;4;2;1;3;2
2009/02/13;9.54729166666667;16.0160416666667;7.43933934739601;11.9292233102919;19.158125;29.1097916666667;17.1316666666667;0.287083333333333;1.996875;263.637453243826;9.30524409023574;67.6689583333333;852.257708333333;6;3;3;0;3;3
2009/02/14;16.01625;27.8625;13.6515446711111;15.2923099078341;14.083125;28.7983333333333;18.9795833333333;0.46625;1.30854166666667;235.071160318146;10.1473088866839;65.073125;850.280833333333;3;1;2;0;1;2
2009/02/15;13.9033333333333;23.485625;17.7301398493069;15.7272715053763;8.27017361111111;22.8620833333333;23.0166666666667;0.2825;1.525;249.840070160672;10.7710590248275;65.364375;849.678958333333;9;4;5;0;4;5
2009/02/16;13.4345833333333;21.2704166666667;22.183360382518;10.8728581029186;4.75138888888889;13.1795833333333;25.241875;0.115208333333333;2.211875;283.651155675639;11.2458696544826;67.7114583333333;849.05375;5;2;3;0;0;5
2009/02/17;15.1378125;20.784986846261;54.5436258690452;8.32491647465437;3.86012310606061;10.4709375;19.405;0.089375;2.37479166666667;269.54139138198;10.8693533627074;74.9812119732614;850.850010822181;2;0;2;0;1;1
2009/02/18;15.4947916666667;23.6858333333333;39.87375;9.165;5.18278678052716;13.5035416666667;8.67447916666667;0.317083333333333;1.78645833333333;277.033250777897;10.994422367818;72.7204166666667;850.838333333333;5;2;3;0;1;4
2009/02/19;16.4035416666667;32.5235416666667;6.265;11.259375;5.09931706114399;15.9711458333333;8.29583333333333;0.289791666666667;1.55666666666667;246.55290632814;11.6179857014252;65.7235416666667;849.133541666667;6;4;2;1;3;2
2009/02/20;15.934375;27.4920833333333;2.09508104267735;9.62083333333333;6.62425788954635;15.551875;7.69875;0.191875;2.8025;190.935611985445;11.5314683791712;62.0733333333333;851.487083333333;7;3;4;0;3;4
2009/02/21;17.4529166666667;28.159375;6.35229166666667;12.79375;6.31544871794872;18.2947916666667;8.69458333333333;0.248125;1.648125;207.563275806769;10.7201203803733;69.2441666666667;851.761458333333;5;2;3;0;2;3
2009/02/22;21.9170833333333;32.653125;10.6056336526819;14.2722916666667;7.84622287968442;21.0807291666667;16.9425;0.259375;2.048125;164.244812403518;10.8326587436418;65.8935416666667;849.935416666667;4;2;2;0;3;1
2009/02/23;6.01395833333333;10.5552083333333;9.8372106963407;12.7085416666667;11.4861637080868;22.9383333333333;7.03666666666667;0.0539583333333333;3.92166666666667;110.370822129787;9.22028107479017;81.2475;853.248125;10;8;2;1;3;6
2009/02/24;5.31020833333333;9.27125;3.43145833333333;10.2185416666667;6.99714620315582;15.760625;6.2675;0.0477083333333333;2.67833333333333;94.7609684261442;9.2245018060729;77.3341666666667;854.02;NA;NA;NA;NA;NA;NA
2009/02/25;11.3035416666667;16.7552083333333;2.02479166666667;8.446875;11.9541703648915;18.725625;5.89260416666667;0.296458333333333;1.59041666666667;248.110240781648;10.2008541652211;75.2585416666667;852.995833333333;7;5;2;0;2;5
2009/02/26;19.466875;31.63375;11.1860416666667;14.4566666666667;12.1274445266272;24.6935416666667;12.2991666666667;0.303541666666667;1.84104166666667;179.404602327592;11.2136988634569;74.068125;850.298958333333;3;1;2;0;2;1
2009/02/27;13.57;18.90125;6.178125;9.49770833333333;7.19280202169626;14.6009375;15.230625;0.115416666666667;1.62354166666667;178.207186858821;12.0323507329139;76.219375;849.02875;3;2;1;0;1;2
2009/02/28;7.49294791666666;9.03991747005052;4.07568279775998;8.98922591145829;7.72509701676528;14.5378893129771;11.863966001773;0.0504791666666667;2.58156249999999;173.3082115623;15.3855109768265;60.7837126654982;851.033817783886;6;3;3;0;4;2
2009/03/01;5.310125;8.24099910284139;6.9688476169656;17.8987154947916;8.675246178501;24.4786121183206;11.6031735815603;0.126375;3.19833333333333;113.25334084922;19.6490248197351;75.2964385062353;851.391220677225;10;5;5;0;5;5
2009/03/02;4.30070833333333;9.36036999944248;2.2110944374302;16.885767578125;6.98566617357003;21.8564182569974;11.2539540780142;0.0397291666666666;2.10291666666667;109.029560576982;18.3646569837307;71.0635218395686;852.751231665503;4;2;2;0;1;3
