date;pm2.5;pm10;so2;no2;no;nox;o3;co;ws;wd;temp;relHum;pressure;death_count;Male;Female;BelowTen;TenToSixtyFour;SixtyFivePlus
2009/01/01;13.6758695652174;23.8539130434783;7.74152173913043;12.8849387584462;1.78369565217391;7.67913043478261;39.0815217391304;0.0778260869565217;2.48130434782609;152.891325781496;19.6684782608696;66.7404347826087;834.582200126661;5;1;4;0;3;2
2009/01/02;12.6410833333333;26.3908578685274;4.77575810132243;12.8848080202018;1.8092196969697;6.54356060606061;36.5768749999999;0.0677006880733945;2.55749206349206;146.128959497156;20.2564213752297;65.4893205444104;835.689629027194;6;3;3;0;2;4
2009/01/03;13.0762083333333;23.373181930807;11.5635121389778;12.8846745002925;2.79323484848485;11.8330303030303;35.1810416666666;0.160439602446483;3.04305357142857;216.420804296108;13.5312518037573;66.3870263991836;839.290634137741;3;2;1;0;2;1
2009/01/04;11.0285416666666;21.0870523228804;5.5736282627941;12.8845409803833;1.79925;8.25520833333332;37.2677083333333;0.0702025993883792;3.22431547619047;187.49911917977;11.8069811417143;63.2174430658502;840.622062396087;3;1;2;0;2;1
2009/01/05;17.3979583333333;35.8257143816204;3.68203786084689;12.8844074604741;1.96984848484848;7.47551136363635;37.8218749999999;0.0597572629969418;3.65224404761904;152.136588259031;11.6503243235588;68.4253597325169;840.916929963446;4;0;4;0;3;1
2009/01/06;17.1413333333333;36.5850014403605;3.95690579223301;12.8842739405649;2.4469053030303;8.57414772727273;36.3610416666666;0.0884785932721711;2.94392261904762;184.677623890143;14.9415998553874;65.5645263991836;839.360425620081;8;3;5;0;3;5
2009/01/07;22.458625;47.225458391818;9.14631756084565;12.8841404206557;2.297375;9.329375;36.4894791666666;0.119254587155963;2.64647222222222;176.189812386294;22.3453629037084;60.5050354775396;835.161614848666;5;3;2;0;2;3
2009/01/08;21.1452083333333;45.5079166666667;7.94229166666667;12.8840069007465;2.3875;10.9172916666667;39.7614583333333;0.112708333333333;2.21479166666667;109.191254547252;22.0047916666667;61.669375;836.04125;5;2;3;0;4;1
2009/01/09;19.0516666666667;43.6479166666667;7.68229166666667;12.8838733808372;3.3475;12.66625;34.2472916666667;0.155416666666667;2.15541666666667;155.841315673418;21.7954166666667;67.3045833333333;835.775208333333;4;2;2;1;0;3
2009/01/10;18.744375;34.86125;9.906875;12.883739860928;3.04729166666667;11.6327083333333;35.1820833333333;0.175416666666667;2.12729166666667;184.570774850964;19.2491666666667;83.9525;834.45625;1;1;0;0;0;1
2009/01/11;9.37175595238095;11.4242092793544;3.13463038360898;12.8836063410189;1.97966856060606;6.16664351851852;37.0989534883721;0.11718507751938;2.85431547619048;87.9063527324753;17.9929101933257;90.5148366332313;833.752738095238;3;1;2;0;2;1
2009/01/12;18.719494047619;21.9688709348995;14.0029071147611;12.8834728211097;3.68333333333333;10.2946666666667;30.6896996124031;0.576724806201549;2.36693452380952;151.392090201044;15.8761808384973;78.9664013991836;833.178095238095;1;0;1;0;0;1
2009/01/13;15.7948958333333;22.2765662672214;14.2938921767941;12.8833393012005;2.6410606060606;10.3111898148148;33.3075968992248;0.625673449612402;2.04416666666667;126.469242148405;19.3392601236691;80.156112621746;833.658125;2;1;1;0;1;1
2009/01/14;20.461875;26.8697916666667;11.7441666666667;12.8832057812912;3.15833333333333;10.3591666666667;36.0360416666667;0.178333333333333;2.24083333333333;137.942276467667;19.5433333333333;81.4975;833.87625;4;1;3;0;0;4
