date;SO2;NO2;NO;NOX;O3;CO;PM2.5;PM10;Amb.Wspeed;Amb.WDirection;Amb.Temp;Amb.RelHum;Amb.Pressure;death_count;Male;Female;10-64;65+;<10
2009/01/01;11.4118671300711;5.31260869565217;3.61465217391304;8.92691304347826;47.5615652173913;0.191565217391304;11.073078226547;13.7868507357888;3.48391304347826;185.624789777063;21.8233756104683;66.9913043478261;849.4;6;3;3;4;1;1
2009/01/02;13.945088810136;19.3375416666667;4.504125;25.5627708333333;46.954;0.496291666666667;13.4401638762519;17.3748183907318;1.59666666666667;169.965411146278;21.5698433648028;67.1304166666667;848.677916666667;6;3;3;5;1;0
2009/01/03;13.8371666666667;40.063375;15.348875;55.4124583333333;17.1735416666667;0.2155;7.52658333333333;10.1533333333333;3.10708333333333;108.725833333333;18.7891666666667;78.77125;850.365416666667;8;5;3;6;1;1
2009/01/04;12.44930886551;25.5936389301634;6.10209881129273;31.6529658246658;39.7124166666667;0.561583333333333;11.1688080845841;18.0152753089613;3.245;242.337750199466;24.3639231732865;58.9245833333333;848.52875;12;5;7;11;0;1
2009/01/05;4.43080846394918;24.6636656760771;5.96212852897478;30.5028202080242;41.2247916666667;0.049625;11.4601106689778;17.6230872174704;3.15625;206.245746027856;24.6498475918502;59.425;848.99;8;4;4;6;2;0
2009/01/06;5.44219798503224;23.7336924219909;5.82215824665683;29.3526745913826;37.5914166666667;0.0923333333333333;9.20061921308209;14.9195088587969;2.75666666666667;230.719904178162;25.1299192494425;59.895;848.53625;7;3;4;3;2;2
2009/01/07;4.36783963903743;22.8037191679046;5.68218796433887;28.202528974741;41.6752916666667;0.0857083333333333;9.48703531319608;20.2577891849377;1.975;200.775730439546;26.6000469104081;51.32;848.81;6;3;3;5;1;0
2009/01/08;7.96190272335062;21.8737459138184;5.54221768202091;27.0523833580992;43.5914166666667;0.257958333333333;11.7099148898869;26.4380161133873;2.14166666666667;188.834815591837;26.7585842891762;48.3141666666667;850.058333333333;4;2;2;4;0;0
2009/01/09;4.50304764936973;20.9437726597321;5.40224739970294;25.9022377414573;29.5155416666667;0.139291666666667;9.30125779919108;16.8766755295538;2.42291666666667;194.934924133002;24.9844807657383;61.7483333333333;849.734583333333;8;6;2;3;4;1
2009/01/10;6.16487191086297;20.0137994056457;5.26227711738497;24.7520921248154;24.9157916666667;0.287083333333333;11.5296569534197;16.0833950918059;1.96041666666667;176.361250372555;22.6653372817865;77.6495833333333;848.607083333333;4;1;3;4;0;0
2009/01/11;1.49475176445892;19.0838261515593;5.122306835067;23.6019465081735;26.592625;0.063625;6.63429837710826;8.11726705414646;3.50958333333333;225.618113090358;20.372249557593;84.65625;847.998333333333;7;5;2;4;1;2
2009/01/12;1.70676995295515;18.1538528974727;4.98233655274903;22.4518008915316;30.505625;0.0717083333333333;7.36168081272685;8.78046735385079;3.50583333333333;242.466039261239;20.9868980400034;84.7229166666667;847.26625;5;2;3;4;0;1
2009/01/13;7.68483282405472;17.2238796433862;4.84236627043105;21.3016552748896;33.798125;0.199916666666667;9.95739416493753;15.5998036192425;1.60583333333333;188.671883412297;24.3575275296446;71.1975;848.028333333333;5;3;2;1;3;1
