variable;Total;q25;median;mean;sd;q75;q99;skew;kurtosis
Female;8066;1;2;2.20865279299014;1.5426917122064;3;6;0.717163278595526;3.46656079769082
Male;6211;1;2;1.70071193866375;1.32996130872517;2;5;0.782202085158239;3.56533268656079
SixtyFivePlus;7992;1;2;2.18838992332968;1.52046099093845;3;6;0.72924548772716;3.48450318969449
TenToSixtyFour;6165;1;1;1.6881161007667;1.38602053651053;2;6;0.855794924494103;3.6907085769567
death_count;14291;2;4;3.9131982475356;2.10875779736577;5;10;0.579667704204691;3.32734863510612
