year;variable;Total;q25;median;mean;sd;q75;q99;skew;kurtosis
2009;Female;1198;2;3;3.28219178082192;1.88395061192538;4;8;0.504844999562654;3.3222798618537
2009;Male;1326;2;3;3.63287671232877;1.89186044214699;5;8.36000000000001;0.421285961297893;2.92174834262634
2009;SixtyFivePlus;453;0;1;1.24109589041096;1.20983102267099;2;5;1.24520099572461;5.03278893294449
2009;TenToSixtyFour;1787;3;5;4.8958904109589;2.3228699539841;6;11;0.318667816692545;2.68846894628801
2009;death_count;2527;5;7;6.92328767123288;2.87460081069773;9;14.36;0.452182878742119;3.31619709138097
2010;Female;907;1;2;2.48493150684931;1.65181146258681;4;7;0.672977473202848;3.15825568582978
2010;Male;1079;2;3;2.95616438356164;1.77536455793258;4;8;0.765411131498251;3.56149388915823
2010;SixtyFivePlus;374;0;1;1.02465753424658;1.04668246466899;2;4.36000000000001;1.18874733216472;4.98683424367149
2010;TenToSixtyFour;1372;2;3;3.75890410958904;2.03322914934515;5;9;0.409608081856343;2.53183192931309
2010;death_count;1990;3;5;5.45205479452055;2.56155588820894;7;12;0.343751251030439;2.72533306089722
2011;Female;769;1;2;2.10684931506849;1.49801414031855;3;6.36000000000001;0.725660424415348;3.63132230290951
2011;Male;916;1;2;2.50958904109589;1.67169095673352;4;7.36000000000001;0.631639302498702;3.33281391670738
2011;SixtyFivePlus;382;0;1;1.04657534246575;1.05117440755786;2;4;0.944465601001902;3.57274191244405
2011;TenToSixtyFour;1117;2;3;3.06027397260274;1.79947639866384;4;8;0.394124218872205;2.85769672557901
2011;death_count;1690;3;5;4.63013698630137;2.40367649559356;6;10.36;0.428474270020532;3.06861780248098
2012;Female;778;1;2;2.12568306010929;1.44887162447382;3;6;0.586641636908771;3.05243231061057
2012;Male;802;1;2;2.19125683060109;1.57950228146242;3;6.35000000000002;0.982322966958581;4.25502241239206
2012;SixtyFivePlus;403;0;1;1.10109289617486;1.06405732006681;2;4;0.986697183840325;4.14128262276067
2012;TenToSixtyFour;1020;2;3;2.78688524590164;1.78070099262947;4;8;0.766476740529837;3.37567306374339
2012;death_count;1581;3;4;4.31967213114754;2.24865156589682;6;10;0.589968262248983;3.16516342125085
2013;Female;675;1;2;1.84931506849315;1.40711723931747;3;5;0.61817683532237;2.7405029834179
2013;Male;825;1;2;2.26027397260274;1.59349120187313;3;6.36000000000001;0.67097412150787;3.04559820322836
2013;SixtyFivePlus;422;0;1;1.15616438356164;1.05624598332936;2;4;0.708191995206182;2.7839714560514
2013;TenToSixtyFour;904;1;2;2.47671232876712;1.55755166318855;4;6;0.550101709752416;3.10352190965502
2013;death_count;1500;3;4;4.10958904109589;2.09631835722169;5;9.36000000000001;0.530239723747958;3.17050810818133
2014;Female;695;1;2;1.9041095890411;1.38242881860394;3;6;0.72830884096999;3.44308102680869
2014;Male;847;1;2;2.32054794520548;1.55970542655096;3;6.36000000000001;0.816002427459509;3.73619433805678
2014;SixtyFivePlus;452;0;1;1.23835616438356;1.14385963859139;2;4;0.925491928561736;3.76129236445054
2014;TenToSixtyFour;928;1;2;2.54246575342466;1.62111054461514;4;7;0.650245351573031;3.49991593149561
2014;death_count;1549;3;4;4.24383561643836;2.05775044550614;5;10;0.517241330353949;3.29323824135786
2015;Female;632;1;2;1.73150684931507;1.40416146737615;2;6;0.823900794697579;3.46249995611544
2015;Male;752;1;2;2.06027397260274;1.51428543025852;3;7;0.853264929253318;3.88226960961704
2015;SixtyFivePlus;456;0;1;1.24931506849315;1.30543278239832;2;5;1.37186920306581;5.25881024706411
2015;TenToSixtyFour;797;1;2;2.18356164383562;1.57303983192114;3;6;0.844400570930409;4.10739710899427
2015;death_count;1387;2;3;3.8;2.20164773459624;5;10;0.745131369242905;3.37193122693976
2016;Female;581;1;1;1.58743169398907;1.28500539500211;2;5;1.00420569243166;4.59511513135581
2016;Male;685;1;2;1.87158469945355;1.36388293483335;3;6;0.745427725032066;3.58210111283662
2016;SixtyFivePlus;378;0;1;1.0327868852459;1.02784061098059;2;4;0.995599619210063;3.71146531555365
2016;TenToSixtyFour;750;1;2;2.04918032786885;1.46662855771217;3;6;0.765389774114456;3.58483762105429
2016;death_count;1268;2;3;3.46448087431694;1.94797981155056;5;9;0.707168997027688;3.65213682157595
2017;Female;525;0;1;1.43835616438356;1.29226674271874;2;5;0.912586738622372;3.83323266491736
2017;Male;610;1;1;1.67123287671233;1.39912447624043;2;5;1.0564305061856;4.65035256761732
2017;SixtyFivePlus;361;0;1;0.989041095890411;0.994429766998807;2;4;0.827601096363849;3.14581759487996
2017;TenToSixtyFour;688;1;2;1.88493150684932;1.50928183497441;3;6.36000000000001;1.04085498356747;4.61177030887094
2017;death_count;1136;2;3;3.11232876712329;1.89881000946772;4;8.36000000000001;0.778849810336438;3.89813647026011
2018;Female;581;1;1;1.59178082191781;1.25594776443681;2;5;0.762342879982413;3.34713354037728
2018;Male;622;1;2;1.7041095890411;1.31563279766313;2;5;0.817530541119792;3.66437363231746
2018;SixtyFivePlus;392;0;1;1.07397260273973;1.02308886389363;2;4;0.992384738495946;3.96316133917592
2018;TenToSixtyFour;718;1;2;1.96712328767123;1.42929080186534;3;5;0.787052267945435;3.91109532018159
2018;death_count;1209;2;3;3.31232876712329;1.86228805899951;4;8;0.437033889260598;2.88168120662729
