variable;Total;q25;median;mean;sd;q75;q99;skew;kurtosis
Female;10328;2;3;2.82803943044907;1.6906795557596;4;7;0.615497394563351;3.28528369400827
Male;9202;1;2;2.5197152245345;1.6316155817754;4;7;0.644476059164561;3.39707000769709
SixtyFivePlus;11307;2;3;3.0961117196057;1.80167492498243;4;8;0.603236631707884;3.27279704552938
TenToSixtyFour;8105;1;2;2.21933187294633;1.52683610026307;3;7;0.744678588044224;3.58859602820151
death_count;19567;4;5;5.3578860898138;2.38600657104219;7;12;0.458535055993944;3.11613457526603
