variable;Total;q25;median;mean;sd;q75;q99;skew;kurtosis
Female;17358;3;4;4.32221115537849;2.19526597899674;6;10;0.605217298761605;3.50877864893879
Male;17814;3;4;4.43575697211155;2.28849661608757;6;11;0.567620235828157;3.31596598815751
death_count;35219;6;8;8.76967131474104;3.34678693764801;11;18;0.48429605362484;3.32511485517201
