year;variable;Total;q25;median;mean;sd;q75;q99;skew;kurtosis
2009;Female;1150;2;3;3.15068493150685;1.85216856029192;4;8;0.62055354519796;3.38922846096756
2009;Male;1182;2;3;3.23835616438356;1.79151158910495;4;8;0.466329302708462;2.99851790882004
2009;SixtyFivePlus;459;0;1;1.25753424657534;1.1576214018194;2;5;1.26421537660599;5.37803277284354
2009;TenToSixtyFour;1549;3;4;4.24383561643836;2.14020810720233;5;10;0.610659078120318;3.54228999342989
2009;death_count;2333;4;6;6.39178082191781;2.57042313961421;8;12;0.327599672588867;2.70928603066099
2010;Female;1115;2;3;3.05479452054795;1.9193234482158;4;9;0.790442689047629;3.85063333803354
2010;Male;1216;2;3;3.33150684931507;1.97434623428556;4;9;0.617182376084891;3.25786298958988
2010;SixtyFivePlus;406;0;1;1.11232876712329;1.1295172076531;2;5;1.18740224047087;4.54648457796812
2010;TenToSixtyFour;1593;3;4;4.36438356164384;2.33965867374264;6;11;0.553155737013569;3.25392001022764
2010;death_count;2332;5;6;6.38904109589041;2.81028143969328;8;14;0.455801247858031;2.97700690943836
2011;Female;764;1;2;2.09315068493151;1.45899340273001;3;6.36000000000001;1.01262256331513;4.48657002322902
2011;Male;889;1;2;2.43561643835616;1.6135901088224;3;7;0.691660718995675;3.56637338352111
2011;SixtyFivePlus;371;0;1;1.01643835616438;1.06376556155637;1;4;1.26994698406117;4.91103581084388
2011;TenToSixtyFour;1090;2;3;2.98630136986301;1.75327911530921;4;8;0.648756028454547;3.8970165939173
2011;death_count;1657;3;4;4.53972602739726;2.26698350467027;6;11;0.615507658364236;3.6531998454458
2012;Female;668;1;2;1.82513661202186;1.45320500130111;3;6;0.949673160474849;4.01594417581732
2012;Male;729;1;2;1.99180327868852;1.49058727953348;3;6;0.873891846757826;3.70922259580603
2012;SixtyFivePlus;348;0;1;0.950819672131147;1.03515567500853;1;4;1.37455755017759;5.49260392972108
2012;TenToSixtyFour;885;1;2;2.41803278688525;1.52516873857087;3;7;0.564107946724576;3.29804718262813
2012;death_count;1404;2;4;3.83606557377049;2.04213421427509;5;9.35000000000002;0.624382831227068;3.81597737449377
2013;Female;557;1;1;1.52602739726027;1.27852372341511;2;5;0.921318600229913;3.66984041930037
2013;Male;701;1;2;1.92054794520548;1.43033836234624;3;6;0.940753378312923;4.42603346140659
2013;SixtyFivePlus;350;0;1;0.958904109589041;1.00326878067359;2;3.36000000000001;0.88318155927296;3.25358534748117
2013;TenToSixtyFour;756;1;2;2.07123287671233;1.53721950466079;3;6;0.734654834411612;3.36625995878822
2013;death_count;1261;2;3;3.45479452054795;1.97686072424104;5;9;0.691118017737161;3.49616083380105
2014;Female;481;0;1;1.31780821917808;1.16630138436128;2;4.36000000000001;0.787624489980612;3.42850937182099
2014;Male;541;1;1;1.48219178082192;1.25699607753694;2;5.36000000000001;1.09578625030217;5.10245132304927
2014;SixtyFivePlus;324;0;1;0.887671232876712;0.972696660174247;1;4;1.05094089906767;3.84313734774003
2014;TenToSixtyFour;556;1;1;1.52328767123288;1.2590900852767;2;5;0.770166892551878;3.27072827128278
2014;death_count;1024;2;3;2.80547945205479;1.7377428212773;4;7.36000000000001;0.699941514623276;3.65954792034938
2015;Female;401;0;1;1.0986301369863;1.07729988461754;2;4.36000000000001;1.29521680992288;5.86793476380504
2015;Male;479;0;1;1.31232876712329;1.10988876849368;2;4;0.834510422177891;3.68152654893978
2015;SixtyFivePlus;294;0;1;0.805479452054795;0.962467412172591;1;4;1.28501007454843;4.38515586169477
2015;TenToSixtyFour;464;0;1;1.27123287671233;1.13407262932604;2;5;1.1293876223178;4.67110254144153
2015;death_count;882;1;2;2.41643835616438;1.55547718011722;3;7.36000000000001;1.05068117803746;5.42032246842084
2016;Female;332;0;1;0.907103825136612;0.883395581590925;1;4;1.08910928142347;4.72266393151952
2016;Male;465;0;1;1.27049180327869;1.20526392434599;2;5;1.12427788850719;4.40808392146526
2016;SixtyFivePlus;296;0;1;0.808743169398907;0.916533107201835;1;3;1.02797066786899;3.52298607507131
2016;TenToSixtyFour;405;0;1;1.10655737704918;1.09650036360404;2;4;0.924533747750121;3.45826833686928
2016;death_count;800;1;2;2.18579234972678;1.62123419941906;3;7;0.883914979823436;3.73345512208198
2017;Female;304;0;1;0.832876712328767;0.89382109638384;1;3.36000000000001;1.09605468077509;4.44628333536905
2017;Male;406;0;1;1.11232876712329;1.0949365486006;2;4.36000000000001;1.22267649604721;5.08623484653227
2017;SixtyFivePlus;261;0;1;0.715068493150685;0.852222568191761;1;3;1.24637507072046;4.96357407523321
2017;TenToSixtyFour;384;0;1;1.05205479452055;0.994505452921406;2;4;1.00331585265324;3.96645857208552
2017;death_count;710;1;2;1.94520547945205;1.37970385179255;3;6;0.670333582721958;3.33421367829178
2018;Female;324;0;1;0.887671232876712;0.969868180331549;1;4;1.02194439953384;3.56579106261966
2018;Male;378;0;1;1.03561643835616;1.13454375094395;2;5;1.33168430892469;4.9160409971327
2018;SixtyFivePlus;274;0;0;0.750684931506849;0.923312730179692;1;3;1.14200358124987;3.69086059731394
2018;TenToSixtyFour;344;0;1;0.942465753424658;1.00245821597984;1;4;1.21305393758011;4.76276416367487
2018;death_count;702;1;2;1.92328767123288;1.49894839950565;3;7;1.00338598016635;4.35678358986235
