variable;n;NAs;q25;median;mean;sd;q75;q99;skew;kurtosis
pm2.5;3652;0;11.5085047758866;19.5988096461618;25.4171490417929;20.8373239466814;31.667884765625;96.0145530240114;1.96424388577638;8.59785485710262
pm10;3652;0;22.4240572916666;39.8510551683419;53.7031027206577;43.2950191939433;73.0663197179343;195.192790878324;1.51799091587148;5.55554118640786
so2;3652;0;5.25957278425199;8.33558282392553;10.2478512959002;7.27924017624759;13.1808490696089;36.2198650179839;1.75939760372494;7.70015272813895
no2;3652;0;8.13408234782531;11.6979808169314;14.7765413978471;10.8672182712647;17.6305537760417;57.8696322876603;2.05836447028298;8.27704180128145
temp;3652;0;9.85291169361441;14.8551041666667;13.8799262354012;5.53572990051036;18.3193454267048;23.2981145833333;-0.509390715151926;2.54856795678144
