variable;Total;q25;median;mean;sd;q75;q99;skew;kurtosis
Female;13617;2;3;3.40680510382787;2.04849458269953;5;9;0.716309545760409;3.53281459837031
Male;13208;2;3;3.30447835876908;2.07350232004108;5;9;0.7437818862456;3.46793803328096
death_count;26853;4;6;6.7182887165374;3.19396300438478;9;15.04;0.68511041795848;3.48913735217825
