variable;n;NAs;q25;median;mean;sd;q75;q99;skew;kurtosis
pm2.5;3652;0;11.1542395833333;18.6982731884188;22.7620417546589;15.7656854597718;30.7002355161158;74.1355553222262;1.3844292248166;5.36421697774943
pm10;3652;0;19.4553043980902;34.6845836896354;43.4386311228893;31.9108477510542;58.9340526850048;143.666007291666;1.49216727999273;6.38760633054078
so2;3652;0;5.78315924967785;9.45798954227093;11.8584771860971;8.5614457273932;15.400515625;40.2889335972762;1.59214226965118;6.28966920454407
no2;3652;0;8.3283515625;11.8751125247042;13.9413540557757;7.50113272328117;18.1745256130416;37.6994895833333;1.22348865429784;4.71295962716232
temp;3652;0;11.77171875;16.4169419962489;15.7823137298493;5.05879826533356;20.0144791666667;24.6064166666667;-0.334013461653526;2.28486210806294
